job_id,user,num_gpu,batch_size,submit_time,iterations,model_name,duration,interval,expect_time_list,expect_value_list,best_effort,job_type
0,user0,1,32,0,1514793,deepspeech2,501063,0,442558,10,0,strict
1,user1,1,64,129,3877,inception3,804,0,542,10,0,strict
2,user2,1,64,1822,385659,deepspeech2,241049,0,296021,10,0,strict
3,user3,1,64,3120,8384,inception3,1739,0,1133,10,0,strict
4,user4,1,64,3385,33388,resnet50,4879,0,3365,10,0,strict
5,user5,1,128,4001,2721,vgg16,1036,0,1146,10,0,strict
6,user6,1,128,4538,17072,gpt2,2335,0,3389,10,0,strict
7,user7,2,128,5487,86836,inception3,18637,0,25697,10,0,strict
8,user8,1,64,6886,599131,inception3,124284,0,178780,10,0,strict
9,user9,1,64,6975,2424,deepspeech2,1515,0,766,10,0,strict
10,user10,16,32,7001,8498,deepspeech2,659,0,845,10,0,strict
11,user11,1,128,8627,4730,vgg16,1802,0,1099,10,0,strict
12,user12,2,128,9137,60835,inception3,13056,0,11507,10,0,strict
13,user13,1,256,10430,5462,vgg16,4158,0,4448,10,0,strict
14,user14,1,256,10432,2669,gpt2,651,0,873,10,0,strict
15,user15,1,64,10962,4861,vgg16,962,0,1307,10,0,strict
16,user16,1,128,12113,138046,gpt2,18887,0,21973,10,0,strict
17,user17,4,256,12347,6960,resnet50,1124,0,1082,10,0,strict
18,user18,1,128,14961,780518,vgg16,297365,0,363342,10,0,strict
19,user19,1,256,17047,25331,resnet50,13741,0,16529,10,0,strict
20,user20,1,64,17075,14684,deepspeech2,9178,0,10409,10,0,strict
21,user21,1,128,17098,64945,resnet50,17767,0,24081,10,0,strict
22,user22,1,256,17800,135653,gpt2,33107,0,18103,10,0,strict
23,user23,1,64,20319,11349,deepspeech2,7093,0,9584,10,0,strict
24,user24,1,128,20751,9835,vgg16,3747,0,3965,10,0,strict
25,user25,1,128,20971,106966,gpt2,14635,0,15232,10,0,strict
26,user26,4,64,21464,109810,bert,10603,0,9406,10,0,strict
27,user27,1,64,21491,20254,deepspeech2,12659,0,8632,10,0,strict
28,user28,1,256,21716,382094,gpt2,93254,0,100151,10,0,strict
29,user29,4,256,22235,89206,resnet50,14409,0,18491,10,0,strict
30,user30,1,128,22851,8455,vgg16,3221,0,3806,10,0,strict
31,user31,8,128,23090,30446,resnet50,1841,0,1513,10,0,strict
32,user32,1,64,23326,6421,bert,1064,0,1123,10,0,strict
33,user33,1,128,23548,175101,resnet50,47902,0,39920,10,0,strict
34,user34,1,32,24102,167092,deepspeech2,55270,0,80161,10,0,strict
35,user35,8,128,24410,2173750,bert,217500,0,309276,10,0,strict
36,user36,4,256,24430,16651,vgg16,3587,0,3993,10,0,strict
37,user37,1,128,26066,11713,inception3,4571,0,2692,10,0,strict
38,user38,1,128,26797,8989,gpt2,1229,0,1704,10,0,strict
39,user39,1,128,27722,55247,resnet50,15114,0,12384,10,0,strict
40,user40,8,256,27908,6224,vgg16,778,0,460,10,0,strict
41,user41,1,64,32316,1122485,inception3,232849,0,205480,10,0,strict
42,user42,1,256,34086,48276,vgg16,36749,0,50848,10,0,strict
43,user43,1,256,34201,3011,gpt2,735,0,657,10,0,strict
44,user44,1,128,34566,5508,bert,1540,0,1588,10,0,strict
45,user45,1,64,35716,62364,vgg16,12342,0,15601,10,0,strict
46,user46,1,128,36834,26640,gpt2,3644,0,2579,10,0,strict
47,user47,1,128,39314,113247,inception3,44197,0,52405,10,0,strict
48,user48,1,128,39808,32185,inception3,12560,0,7926,10,0,strict
49,user49,8,32,41402,70070,deepspeech2,7138,0,8822,10,0,strict
50,user50,1,128,42401,15329,gpt2,2097,0,1819,10,0,strict
51,user51,8,128,42726,83171,vgg16,6127,0,4365,10,0,strict
52,user52,2,64,43524,191995,resnet50,16217,0,14202,10,0,strict
53,user53,16,64,45451,70057,deepspeech2,7452,0,7040,10,0,strict
54,user54,1,128,47135,10605,gpt2,1451,0,763,10,0,strict
55,user55,1,64,47769,223395,resnet50,32645,0,35573,10,0,strict
56,user56,4,128,48569,73375,resnet50,6537,0,9234,10,0,strict
57,user57,8,64,48601,7702,bert,696,0,509,10,0,strict
58,user58,8,32,48851,314211,deepspeech2,32009,0,38686,10,0,strict
59,user59,1,64,50288,9496,inception3,1969,0,2953,10,0,strict
60,user60,1,64,50769,47011,bert,7795,0,8059,10,0,strict
61,user61,1,32,50940,5813,deepspeech2,1922,0,1990,10,0,strict
62,user62,2,64,51657,8368,deepspeech2,2825,0,3590,10,0,strict
63,user63,1,128,52749,27627,bert,7728,0,8817,10,0,strict
64,user64,1,128,53759,922383,bert,258014,0,263287,10,0,strict
65,user65,1,64,54182,1483932,resnet50,216854,0,288960,10,0,strict
66,user66,2,256,54702,9099,gpt2,1307,0,1833,10,0,strict
67,user67,8,128,55341,19418,inception3,1788,0,2369,10,0,strict
68,user68,1,32,56698,8518,deepspeech2,2817,0,1822,10,0,strict
69,user69,1,32,57360,89108,deepspeech2,29475,0,16693,10,0,strict
70,user70,1,256,57810,3062,vgg16,2331,0,3367,10,0,strict
71,user71,1,64,58415,4982,vgg16,986,0,1431,10,0,strict
72,user72,1,64,58442,280001,bert,46429,0,57026,10,0,strict
73,user73,1,256,58482,3359,vgg16,2557,0,3767,10,0,strict
74,user74,4,64,59576,42685,bert,4121,0,4535,10,0,strict
75,user75,1,32,63253,2206,deepspeech2,729,0,679,10,0,strict
76,user76,1,128,64063,3826,resnet50,1046,0,1362,10,0,strict
77,user77,1,64,64513,27184,vgg16,5379,0,3712,10,0,strict
78,user78,1,256,64681,73426,gpt2,17920,0,9302,10,0,strict
79,user79,1,64,65309,2975021,vgg16,588761,0,464649,10,0,strict
80,user80,4,64,68928,41127,vgg16,2787,0,2978,10,0,strict
81,user81,8,64,70253,34245,deepspeech2,4623,0,5098,10,0,strict
82,user82,1,256,70951,17541,resnet50,9516,0,8092,10,0,strict
83,user83,16,64,72722,13684,deepspeech2,1455,0,1412,10,0,strict
84,user84,1,128,72960,26995,gpt2,3693,0,2968,10,0,strict
85,user85,1,128,73609,1737,inception3,678,0,426,10,0,strict
86,user86,1,128,76351,3219,resnet50,880,0,1237,10,0,strict
