job_id,submit_time,iteration,model_name,ddl,batch_size,num_gpu,duration,best_effort
0,0,1514793,deepspeech2,595107,32,1,501063,1
1,129,3877,inception3,1234,64,1,804,1
2,1822,385659,deepspeech2,341742,64,1,241049,1
3,3120,8384,inception3,5026,64,1,1739,1
4,3385,33388,resnet50,6440,64,1,4879,0
5,4001,2721,vgg16,4862,128,1,1036,1
6,4538,17072,gpt2,7950,128,1,2335,1
7,5487,86836,inception3,23529,128,2,18637,0
8,6886,599131,inception3,155475,64,1,124284,0
9,6975,2424,deepspeech2,8558,64,1,1515,1
10,7001,8498,deepspeech2,7455,32,16,659,0
11,8627,4730,vgg16,11022,128,1,1802,1
12,9137,60835,inception3,16165,128,2,13056,1
13,10430,5462,vgg16,13484,256,1,4158,0
14,10432,2669,gpt2,10765,256,1,651,1
15,10962,4861,vgg16,11936,64,1,962,1
16,12113,138046,gpt2,36887,128,1,18887,1
17,12347,6960,resnet50,12972,256,4,1124,1
18,14961,780518,vgg16,384337,128,1,297365,1
19,17047,25331,resnet50,30539,256,1,13741,0
20,17075,14684,deepspeech2,28201,64,1,9178,1
21,17098,64945,resnet50,38492,128,1,17767,1
22,17800,135653,gpt2,67076,256,1,33107,1
23,20319,11349,deepspeech2,27662,64,1,7093,1
24,20751,9835,vgg16,23216,128,1,3747,1
25,20971,106966,gpt2,30395,128,1,14635,1
26,21464,109810,bert,35157,64,4,10603,1
27,21491,20254,deepspeech2,35927,64,1,12659,1
28,21716,382094,gpt2,128357,256,1,93254,1
29,22235,89206,resnet50,40365,256,4,14409,1
30,22851,8455,vgg16,27332,128,1,3221,1
31,23090,30446,resnet50,24665,128,8,1841,1
32,23326,6421,bert,24837,64,1,1064,1
33,23548,175101,resnet50,69416,128,1,47902,0
34,24102,167092,deepspeech2,77858,32,1,55270,1
35,24410,2173750,bert,140537,128,8,217500,1
36,24430,16651,vgg16,26703,256,4,3587,0
37,26066,11713,inception3,32450,128,1,4571,1
38,26797,8989,gpt2,27892,128,1,1229,1
39,27722,55247,resnet50,46323,128,1,15114,0
40,27908,6224,vgg16,28782,256,8,778,1
41,32316,1122485,inception3,188049,64,1,232849,1
42,34086,48276,vgg16,71338,256,1,36749,1
43,34201,3011,gpt2,34936,256,1,735,1
44,34566,5508,bert,36835,128,1,1540,1
45,35716,62364,vgg16,45115,64,1,12342,1
46,36834,26640,gpt2,38708,128,1,3644,1
47,39314,113247,inception3,92605,128,1,44197,1
48,39808,32185,inception3,48184,128,1,12560,1
49,41402,70070,deepspeech2,46006,32,8,7138,1
50,42401,15329,gpt2,44362,128,1,2097,1
51,42726,83171,vgg16,48437,128,8,6127,1
52,43524,191995,resnet50,53150,64,2,16217,1
53,45451,70057,deepspeech2,49892,64,16,7452,1
54,47135,10605,gpt2,48065,128,1,1451,1
55,47769,223395,resnet50,92809,64,1,32645,1
56,48569,73375,resnet50,53186,128,4,6537,1
57,48601,7702,bert,49161,64,8,696,1
58,48851,314211,deepspeech2,68221,32,8,32009,0
59,50288,9496,inception3,52336,64,1,1969,1
60,50769,47011,bert,61486,64,1,7795,1
61,50940,5813,deepspeech2,52050,32,1,1922,1
62,51657,8368,deepspeech2,54513,64,2,2825,1
63,52749,27627,bert,59345,128,1,7728,1
64,53759,922383,bert,363988,128,1,258014,1
65,54182,1483932,resnet50,230576,64,1,216854,1
66,54702,9099,gpt2,56277,256,2,1307,1
67,55341,19418,inception3,57731,128,8,1788,1
68,56698,8518,deepspeech2,60502,32,1,2817,1
69,57360,89108,deepspeech2,74536,32,1,29475,1
70,57810,3062,vgg16,60480,256,1,2331,1
71,58415,4982,vgg16,59724,64,1,986,1
72,58442,280001,bert,120355,64,1,46429,1
73,58482,3359,vgg16,60066,256,1,2557,1
74,59576,42685,bert,64094,64,4,4121,1
75,63253,2206,deepspeech2,64003,32,1,729,0
76,64063,3826,resnet50,65441,128,1,1046,1
77,64513,27184,vgg16,70455,64,1,5379,0
78,64681,73426,gpt2,75262,256,1,17920,1
79,65309,2975021,vgg16,404571,64,1,588761,1
80,68928,41127,vgg16,70608,64,4,2787,0
81,70253,34245,deepspeech2,74989,64,8,4623,1
82,70951,17541,resnet50,82276,256,1,9516,1
83,72722,13684,deepspeech2,74554,64,16,1455,1
84,72960,26995,gpt2,76476,128,1,3693,1
85,73609,1737,inception3,74150,128,1,678,1
86,76351,3219,resnet50,77323,128,1,880,1
87,77127,5039,resnet50,78052,128,1,1378,1
88,77680,1476,vgg16,78323,256,1,1124,1
89,77962,9290,gpt2,79014,128,1,1271,0
90,78677,7645,inception3,82826,128,1,2983,1
91,81511,20124,resnet50,85655,128,1,5505,1
92,81517,36065,vgg16,92674,128,1,13740,1
93,82894,3920907,gpt2,295246,128,4,235259,1
94,84440,9215,vgg16,89668,128,1,3510,1
95,86396,7920,bert,86899,64,8,716,1
96,87610,60831,resnet50,89635,128,8,3679,1
97,89101,6062,gpt2,90120,128,1,829,1
98,89759,88289,vgg16,158330,256,1,67208,1
99,90500,43730,deepspeech2,101745,32,1,14465,1
100,91000,11922,gpt2,92804,128,1,1631,0
101,91052,346770,vgg16,135422,64,1,68626,1
102,92888,10238,deepspeech2,97024,64,1,6399,1
103,93648,7071,gpt2,94595,256,1,1725,0
104,93849,3621891,gpt2,213413,128,8,193646,0
105,94481,11689,gpt2,98163,256,1,2852,1
106,95078,8434,vgg16,98790,128,1,3213,0
107,95475,11746,inception3,102172,128,1,4584,1
108,95857,5856,resnet50,97727,128,1,1602,1
109,96553,62166,gpt2,117232,256,1,15172,0
110,97433,60287,deepspeech2,102785,64,8,8140,1
111,98286,20825,inception3,101809,64,1,4319,1
112,98837,3903,vgg16,100838,256,1,2971,1
113,98863,9620,gpt2,100175,256,1,2348,1
114,99097,4616,vgg16,99746,64,1,913,1
115,99273,29672,vgg16,113578,128,1,11304,0
116,100063,30427,resnet50,122213,256,1,16506,1
117,101839,3301,vgg16,102678,64,1,653,1
118,103281,26572,deepspeech2,107779,32,1,8789,1
119,104716,6175,resnet50,109325,256,1,3350,1
120,106242,19904,resnet50,109980,64,1,2908,1
121,106507,6223,gpt2,108410,256,1,1519,1
122,108167,11162,bert,110014,128,1,3122,1
123,109173,801250,vgg16,454351,128,1,305264,1
124,109251,872548,inception3,510921,128,1,340533,1
125,109266,4881,resnet50,110131,128,1,1335,1
126,109279,5372,resnet50,110883,128,1,1469,1
