job_id,submit_time,iteration,model_name,ddl,batch_size,num_gpu,duration,best_effort
0,0,1514793,deepspeech2,442558,32,1,501063,1
1,129,3877,inception3,671,64,1,804,1
2,1822,385659,deepspeech2,297843,64,1,241049,0
3,3120,8384,inception3,4253,64,1,1739,0
4,3385,33388,resnet50,6750,64,1,4879,1
5,4001,2721,vgg16,5147,128,1,1036,1
6,4538,17072,gpt2,7927,128,1,2335,1
7,5487,86836,inception3,31184,128,2,18637,0
8,6886,599131,inception3,185666,64,1,124284,0
9,6975,2424,deepspeech2,7741,64,1,1515,1
10,7001,8498,deepspeech2,7846,32,16,659,0
11,8627,4730,vgg16,9726,128,1,1802,0
12,9137,60835,inception3,20644,128,2,13056,0
13,10430,5462,vgg16,14878,256,1,4158,0
14,10432,2669,gpt2,11305,256,1,651,1
15,10962,4861,vgg16,12269,64,1,962,1
16,12113,138046,gpt2,34086,128,1,18887,0
17,12347,6960,resnet50,13429,256,4,1124,1
18,14961,780518,vgg16,378303,128,1,297365,0
19,17047,25331,resnet50,33576,256,1,13741,0
20,17075,14684,deepspeech2,27484,64,1,9178,1
21,17098,64945,resnet50,41179,128,1,17767,0
22,17800,135653,gpt2,35903,256,1,33107,0
23,20319,11349,deepspeech2,29903,64,1,7093,1
24,20751,9835,vgg16,24716,128,1,3747,1
25,20971,106966,gpt2,36203,128,1,14635,0
26,21464,109810,bert,30870,64,4,10603,0
27,21491,20254,deepspeech2,30123,64,1,12659,0
28,21716,382094,gpt2,121867,256,1,93254,0
29,22235,89206,resnet50,40726,256,4,14409,1
30,22851,8455,vgg16,26657,128,1,3221,1
31,23090,30446,resnet50,24603,128,8,1841,1
32,23326,6421,bert,24449,64,1,1064,1
33,23548,175101,resnet50,63468,128,1,47902,0
34,24102,167092,deepspeech2,104263,32,1,55270,0
35,24410,2173750,bert,333686,128,8,217500,0
36,24430,16651,vgg16,28423,256,4,3587,1
37,26066,11713,inception3,28758,128,1,4571,1
38,26797,8989,gpt2,28501,128,1,1229,1
39,27722,55247,resnet50,40106,128,1,15114,1
40,27908,6224,vgg16,28368,256,8,778,1
41,32316,1122485,inception3,237796,64,1,232849,1
42,34086,48276,vgg16,84934,256,1,36749,0
43,34201,3011,gpt2,34858,256,1,735,0
44,34566,5508,bert,36154,128,1,1540,1
45,35716,62364,vgg16,51317,64,1,12342,0
46,36834,26640,gpt2,39413,128,1,3644,1
47,39314,113247,inception3,91719,128,1,44197,1
48,39808,32185,inception3,47734,128,1,12560,1
49,41402,70070,deepspeech2,50224,32,8,7138,0
50,42401,15329,gpt2,44220,128,1,2097,1
51,42726,83171,vgg16,47091,128,8,6127,0
52,43524,191995,resnet50,57726,64,2,16217,0
53,45451,70057,deepspeech2,52491,64,16,7452,0
54,47135,10605,gpt2,47898,128,1,1451,1
55,47769,223395,resnet50,83342,64,1,32645,0
56,48569,73375,resnet50,57803,128,4,6537,1
57,48601,7702,bert,49110,64,8,696,0
58,48851,314211,deepspeech2,87537,32,8,32009,0
59,50288,9496,inception3,53241,64,1,1969,1
60,50769,47011,bert,58828,64,1,7795,1
61,50940,5813,deepspeech2,52930,32,1,1922,1
62,51657,8368,deepspeech2,55247,64,2,2825,1
63,52749,27627,bert,61566,128,1,7728,0
64,53759,922383,bert,317046,128,1,258014,0
65,54182,1483932,resnet50,343142,64,1,216854,1
66,54702,9099,gpt2,56535,256,2,1307,0
67,55341,19418,inception3,57710,128,8,1788,0
68,56698,8518,deepspeech2,58520,32,1,2817,1
69,57360,89108,deepspeech2,74053,32,1,29475,1
70,57810,3062,vgg16,61177,256,1,2331,0
71,58415,4982,vgg16,59846,64,1,986,0
72,58442,280001,bert,115468,64,1,46429,0
73,58482,3359,vgg16,62249,256,1,2557,0
74,59576,42685,bert,64111,64,4,4121,1
75,63253,2206,deepspeech2,63932,32,1,729,0
76,64063,3826,resnet50,65425,128,1,1046,1
77,64513,27184,vgg16,68225,64,1,5379,0
78,64681,73426,gpt2,73983,256,1,17920,0
79,65309,2975021,vgg16,529958,64,1,588761,0
80,68928,41127,vgg16,71906,64,4,2787,1
81,70253,34245,deepspeech2,75351,64,8,4623,0
82,70951,17541,resnet50,79043,256,1,9516,1
83,72722,13684,deepspeech2,74134,64,16,1455,1
84,72960,26995,gpt2,75928,128,1,3693,0
85,73609,1737,inception3,74035,128,1,678,0
86,76351,3219,resnet50,77588,128,1,880,0
87,77127,5039,resnet50,78200,128,1,1378,1
88,77680,1476,vgg16,78935,256,1,1124,1
89,77962,9290,gpt2,78993,128,1,1271,0
90,78677,7645,inception3,82114,128,1,2983,1
