job_id,submit_time,iteration,model_name,ddl,batch_size,num_gpu,duration,best_effort
0,0,1514793,deepspeech2,660978,32,1,501063,1
1,129,3877,inception3,589,64,1,804,1
2,1822,385659,deepspeech2,123299,64,1,241049,1
3,3120,8384,inception3,5717,64,1,1739,1
4,3385,33388,resnet50,7903,64,1,4879,1
5,4001,2721,vgg16,5518,128,1,1036,1
6,4538,17072,gpt2,7582,128,1,2335,1
7,5487,86836,inception3,30001,128,2,18637,1
8,6886,599131,inception3,71733,64,1,124284,1
9,6975,2424,deepspeech2,7767,64,1,1515,1
10,7001,8498,deepspeech2,7856,32,16,659,0
11,8627,4730,vgg16,10958,128,1,1802,1
12,9137,60835,inception3,20036,128,2,13056,1
13,10430,5462,vgg16,16562,256,1,4158,1
14,10432,2669,gpt2,11348,256,1,651,1
15,10962,4861,vgg16,12247,64,1,962,1
16,12113,138046,gpt2,30668,128,1,18887,1
17,12347,6960,resnet50,13942,256,4,1124,1
18,14961,780518,vgg16,305190,128,1,297365,1
19,17047,25331,resnet50,36505,256,1,13741,1
20,17075,14684,deepspeech2,22983,64,1,9178,0
21,17098,64945,resnet50,28336,128,1,17767,1
22,17800,135653,gpt2,36173,256,1,33107,1
23,20319,11349,deepspeech2,29810,64,1,7093,1
24,20751,9835,vgg16,25478,128,1,3747,1
25,20971,106966,gpt2,29585,128,1,14635,1
26,21464,109810,bert,26950,64,4,10603,1
27,21491,20254,deepspeech2,37039,64,1,12659,1
28,21716,382094,gpt2,122455,256,1,93254,1
29,22235,89206,resnet50,41754,256,4,14409,1
30,22851,8455,vgg16,24475,128,1,3221,1
31,23090,30446,resnet50,25430,128,8,1841,1
32,23326,6421,bert,24772,64,1,1064,0
33,23548,175101,resnet50,91337,128,1,47902,1
34,24102,167092,deepspeech2,77576,32,1,55270,1
35,24410,2173750,bert,205847,128,8,217500,1
36,24430,16651,vgg16,29579,256,4,3587,1
37,26066,11713,inception3,29569,128,1,4571,1
38,26797,8989,gpt2,28544,128,1,1229,1
39,27722,55247,resnet50,35290,128,1,15114,1
40,27908,6224,vgg16,28844,256,8,778,1
41,32316,1122485,inception3,321609,64,1,232849,1
42,34086,48276,vgg16,64721,256,1,36749,1
43,34201,3011,gpt2,34621,256,1,735,1
44,34566,5508,bert,36083,128,1,1540,1
45,35716,62364,vgg16,45638,64,1,12342,1
46,36834,26640,gpt2,39692,128,1,3644,1
47,39314,113247,inception3,94907,128,1,44197,1
48,39808,32185,inception3,51969,128,1,12560,1
49,41402,70070,deepspeech2,47650,32,8,7138,1
50,42401,15329,gpt2,44293,128,1,2097,1
51,42726,83171,vgg16,46769,128,8,6127,1
52,43524,191995,resnet50,60775,64,2,16217,1
53,45451,70057,deepspeech2,54081,64,16,7452,1
54,47135,10605,gpt2,48891,128,1,1451,0
55,47769,223395,resnet50,89511,64,1,32645,1
56,48569,73375,resnet50,53057,128,4,6537,1
57,48601,7702,bert,49302,64,8,696,1
58,48851,314211,deepspeech2,75330,32,8,32009,0
59,50288,9496,inception3,51560,64,1,1969,0
60,50769,47011,bert,58216,64,1,7795,1
61,50940,5813,deepspeech2,53334,32,1,1922,1
62,51657,8368,deepspeech2,53083,64,2,2825,0
63,52749,27627,bert,59613,128,1,7728,1
64,53759,922383,bert,438393,128,1,258014,1
65,54182,1483932,resnet50,316348,64,1,216854,1
66,54702,9099,gpt2,56172,256,2,1307,1
67,55341,19418,inception3,56525,128,8,1788,1
68,56698,8518,deepspeech2,58985,32,1,2817,1
69,57360,89108,deepspeech2,84752,32,1,29475,0
70,57810,3062,vgg16,61163,256,1,2331,1
71,58415,4982,vgg16,59408,64,1,986,1
72,58442,280001,bert,87818,64,1,46429,1
73,58482,3359,vgg16,60860,256,1,2557,1
74,59576,42685,bert,63270,64,4,4121,1
75,63253,2206,deepspeech2,63940,32,1,729,1
76,64063,3826,resnet50,65392,128,1,1046,1
77,64513,27184,vgg16,67811,64,1,5379,1
78,64681,73426,gpt2,85998,256,1,17920,1
79,65309,2975021,vgg16,764185,64,1,588761,1
80,68928,41127,vgg16,72517,64,4,2787,1
81,70253,34245,deepspeech2,74491,64,8,4623,1
82,70951,17541,resnet50,81331,256,1,9516,1
83,72722,13684,deepspeech2,73577,64,16,1455,1
84,72960,26995,gpt2,75762,128,1,3693,1
85,73609,1737,inception3,74408,128,1,678,1
86,76351,3219,resnet50,76838,128,1,880,1
87,77127,5039,resnet50,79183,128,1,1378,1
88,77680,1476,vgg16,79286,256,1,1124,1
89,77962,9290,gpt2,79178,128,1,1271,1
90,78677,7645,inception3,82292,128,1,2983,1
91,81511,20124,resnet50,85364,128,1,5505,1
