time,job_num,gpu_num
0,0,0
0,0,0
0,0,0
240,0,0
240,0,0
240,0,0
480,0,0
480,0,0
480,0,0
720,0,0
720,0,0
720,0,0
960,0,0
960,0,0
960,0,0
1200,0,0
1200,0,0
1200,0,0
1440,0,0
1440,0,0
1440,0,0
1680,0,0
1680,0,0
1680,0,0
1920,0,0
1920,0,0
1920,0,0
2160,0,0
2160,0,0
2160,0,0
2400,0,0
2400,0,0
2400,0,0
2640,0,0
2640,0,0
2640,0,0
2880,0,0
2880,0,0
2880,0,0
3120,0,0
3120,0,0
3120,0,0
3360,0,0
3360,0,0
3360,0,0
3600,0,0
3600,0,0
3600,0,0
3840,0,0
3840,0,0
3840,0,0
4080,0,0
4080,0,0
4080,0,0
4320,0,0
4320,0,0
4320,0,0
4560,0,0
4560,0,0
4560,0,0
4800,0,0
4800,0,0
4800,0,0
5040,0,0
5040,0,0
5040,0,0
5280,0,0
5280,0,0
5280,0,0
5520,0,0
5520,0,0
5520,0,0
5760,0,0
5760,0,0
5760,0,0
6000,0,0
6000,0,0
6000,0,0
6240,0,0
6240,0,0
6240,0,0
6480,0,0
6480,0,0
6480,0,0
6720,0,0
6720,0,0
6720,0,0
6960,0,0
6960,0,0
6960,0,0
7200,0,0
7200,0,0
7200,0,0
7440,0,0
7440,0,0
7440,0,0
7680,0,0
7680,0,0
7680,0,0
7920,0,0
7920,0,0
7920,0,0
8160,0,0
8160,0,0
8160,0,0
8400,0,0
8400,0,0
8400,0,0
8640,0,0
8640,0,0
8640,0,0
8880,0,0
8880,0,0
8880,0,0
9120,0,0
9120,0,0
9120,0,0
9360,0,0
9360,0,0
9360,0,0
9600,0,0
9600,0,0
9600,0,0
9840,0,0
9840,0,0
9840,0,0
10080,0,0
10080,0,0
10080,0,0
10320,0,0
10320,0,0
10320,0,0
10560,0,0
10560,0,0
10560,0,0
10800,0,0
10800,0,0
10800,0,0
11040,0,0
11040,0,0
11040,0,0
11280,0,0
11280,0,0
11280,0,0
11520,0,0
11520,0,0
11520,0,0
11760,0,0
11760,0,0
11760,0,0
12000,0,0
12000,0,0
12000,0,0
12240,0,0
12240,0,0
12240,0,0
12480,0,0
12480,0,0
12480,0,0
